id_phos	Cell1_DMSO_1	Cell1_DMSO_2	Cell1_DMSO_3	Cell1_inhibitor1_1	Cell1_inhibitor1_2	Cell1_inhibitor1_3	Cell1_inhibitor2_1	Cell1_inhibitor2_2	Cell1_inhibitor2_3	Cell2_DMSO_1	Cell2_DMSO_2	Cell2_DMSO_3	Cell2_inhibitor1_1	Cell2_inhibitor1_2	Cell2_inhibitor1_3	Cell2_inhibitor2_1	Cell2_inhibitor2_2	Cell2_inhibitor2_3
4205_1	0	0	0	0	0	0	0	0	0	1.9633755142261933	0.14039892873689563	2.0882168333528313	0	0	0	-0.5902814458596275	0.3805339368762546	1.621732012449188
4205_2	0	0	0	0	0	0	0	0	0	0.18864797333539052	0.041612452999040705	-0.13623186070428517	0.506437068344372	0.012161793516606068	0.0079316033787169	-0.15502509024989664	-0.05039706836043223	0.09225593812163879
4206_1	1.054278358895525	0.14510052927899686	0	-0.3588713926888776	1.2388187785681675	-0.04224827801722775	0.6519008979135563	0.712860955616442	0	1.0807398086500193	1.3099427685574936	1.6487355432811945	-1.204176017233328	0.6136090224253188	0.735994144315514	0.7438336959987879	1.128431254688964	1.3333809296785546
4209_1	0.3714314183481058	-0.05281419743327476	0.3110674159806255	-0.30680229743877163	-0.2191840390399955	0.39521120876181826	0.04540253785886783	0.4677285360874883	0.34156343802583145	0	0	0	0	0	0	0	0	0
4211_1	0.20048347966860192	0.044220900330682156	-0.43692262786783154	-0.2190476247410693	-0.33021699452555797	-1.2368625403164	-0.7707697042543682	-0.3335403719407175	-1.210735249238903	0	0	0	0	0	0	0	0	0
4212_1	0.8345550441553851	1.2033278114646802	-2.071176296026369	-0.5367006254214974	0.236448304602896	0	-1.8062577031659384	0.3314319846860414	-1.954292085224516	0	0	0	0	0	0	0	0	0
4213_2	0.12449721581060302	0.1595540812644316	-0.19276099771585287	-0.4827654730596116	-0.7114220141637029	-0.3136065595956694	-0.7537862682043208	-0.7093033715388231	-0.6136210676393059	0	0	0	0	0	0	0	0	0
4214_1	-0.21714728264431926	0.2641052661698744	0.7304695635028295	-0.24488591993614683	0.8313120095220752	0	-0.49722295958800444	-0.49710707070959614	0	0	0	0	0	0	0	0	0	0
4214_2	0.12449721581060302	0.1595540812644316	-0.19276099771585287	-0.4827654730596116	-0.7114220141637029	-0.3136065595956694	-0.7537862682043208	-0.7093033715388231	-0.6136210676393059	0	0	0	0	0	0	0	0	0
4216_1	0.10333910715363004	0.0271696460637898	-0.6958633992762753	-0.7233002865871576	-0.5451229126594841	-1.6148794134966913	-0.5847134819784774	-0.46031394639764756	-2.590346436067664	-0.0998975399597608	-0.327320903106723	0.013703134270027562	0.26052299218294195	0.3446181504917636	0.5947628296764318	-0.21067163514724996	0.19557039695612488	0.34477802428585136
4218_1	0.73967234088785	0.49894614509561386	0.7469276199528725	1.0683014350825601	1.0576694302560687	0.04061448048650895	1.3931547881046171	1.4850011294086247	1.1782412251973877	-1.039214834725552	-1.1035231357289552	-1.4540166882700376	0.7245084356430009	0.8123532200460222	0.2697654070222395	-0.7035011421349289	-0.5539702025690882	-1.426465319991994
4218_2	-0.4528596013010713	-0.23766349997280045	0.32834935058217773	-0.2290244586025203	-0.22974692718765954	0.29988662747822126	-0.0764508955015426	-0.46796043679487553	-2.878484622073074e-4	0.13310485708477238	0.08344760905438253	0.03240697924891833	-0.10202022094645713	0.2704826047063822	0.09633570530286484	-0.12057137313966138	-0.12321239615840085	0.027995771360174615
4219_1	0.7447961977185429	0.11302096155211316	0.8542460881279137	1.011463077904196	1.0355252726337367	1.07827178781519	1.2070190491886432	1.3682281697445973	0.9549951106276087	-1.8060493971593718	-2.1785158026462836	-1.7981146818973848	0.014232329110157593	0.1898913685633783	0.004642064365421916	-1.2123006540176782	-1.0984876112392996	-1.295586973232016
4219_2	-0.4528596013010713	-0.23766349997280045	0.32834935058217773	-0.2290244586025203	-0.22974692718765954	0.29988662747822126	-0.0764508955015426	-0.46796043679487553	-2.878484622073074e-4	0.13310485708477238	0.08344760905438253	0.03240697924891833	-0.10202022094645713	0.2704826047063822	0.09633570530286484	-0.12057137313966138	-0.12321239615840085	0.027995771360174615
4220_1	-1.1030336612867018	-0.8333219037178701	-1.178291953105111	-0.779646396909861	-0.7162025626271502	-0.8005113488905202	-0.925187832822834	-0.9455030024835764	-0.6247857617635599	-0.3508718218069955	-0.6184938361865866	-0.522264795225226	-0.019594794423529294	0.11451582342270861	0.13840262045652985	0.18840448675594246	0.24050606242498063	0.3768616179704445
4220_2	0	0	0	0	0	0	0	0	0	0.0015417692070336386	0.01865950562651353	-0.2261063949361528	-0.10452060777738836	-1.87574321222481	-0.24128714077041558	0.22501070053044891	-0.014164119390843055	0.5304086401987131
4221_1	-1.1206033588187534	-1.4554640450241116	-2.211022324133763	-0.49954045415701387	-0.542258290263999	-0.6881364605814113	-0.4129197340940447	-0.7892763852747855	-2.354278466132415	0.0591330412938742	-0.11255187483812801	-0.0925941317399328	0.051387004909075884	0.07091323767609126	0.2776302194309732	0.4251643653861521	0.4088395980092585	0.6194701988854305
4221_2	0	0	0	0	0	0	0	0	0	0.0015417692070336386	0.01865950562651353	-0.2261063949361528	-0.10452060777738836	-1.87574321222481	-0.24128714077041558	0.22501070053044891	-0.014164119390843055	0.5304086401987131
4222_1	-0.5344401374158068	-0.8010104304417531	0.2969245212873677	0.7008324499702461	0.23520417892967682	1.311575378781754	0.7537614987244101	0.681036227982176	1.5037859840227323	0	0	0	0	0	0	0	0	0
4223_1	-2.025924486606705	-1.9022621328256388	-1.0027361225091305	-0.9750667958490418	-0.44326554470360424	0.24222406099130112	-0.14441069007211382	-0.1241596450697422	-0.49512637103036106	-0.7779094574853023	-1.08334928196098	-0.756787026863492	0.5470069745398121	0.8147415933549578	0.40234136459226555	0.8933003948706819	1.080859798791149	1.270503450980705
4224_1	0.5054936640113752	0.6256515252420094	0.5008091431381665	-0.6843374383897203	-0.2861259048845435	-0.9446039924815519	-0.8775802442163307	-0.38895532236600516	-2.7690455286421045	0.8043866035972851	0.743716523536361	0.7846603610829632	1.0269315587015413	0.6543152230526861	0.9798824371612458	0.9684380285345924	0.882376028272315	1.0665220540934506
