id	logFC	AveExpr	t	P.Value	adj.P.Val	B	Comparison
6052	-5.81140508529671	-1.7580770217561041	-70.19099354750936	5.1307999109448754e-20	2.6084986747243746e-16	34.01998459915772	Cell2_DMSO - Cell1_DMSO
1044	7.438190884831241	-2.4648997517401634	38.646885546557435	3.2138899918963654e-16	6.929066290505346e-13	27.254307210809852	Cell2_DMSO - Cell1_DMSO
5791	7.20266561217346	-2.8691038747898716	38.0144704388931	4.088748794554689e-16	6.929066290505346e-13	27.04034585277655	Cell2_DMSO - Cell1_DMSO
907	-4.994184691218308	-1.6540528031093717	-36.523154792399325	7.329428126516615e-16	9.315703148802617e-13	26.516913591217286	Cell2_DMSO - Cell1_DMSO
1764	-5.128356614784535	-1.5334136142621777	-34.26836383657311	1.854575701804405e-15	1.8857325735947193e-12	25.67129255051206	Cell2_DMSO - Cell1_DMSO
3071	-3.260295540551533	-1.5846967131426493	-33.54702963992381	2.5276400004243545e-15	2.1417536270262366e-12	25.38588801699679	Cell2_DMSO - Cell1_DMSO
2973	3.5458995917817018	-0.8818040954037942	32.30568130891749	4.373915197994879e-15	3.1767121238008524e-12	24.876529507130545	Cell2_DMSO - Cell1_DMSO
1241	-2.4874666310227056	-0.32538785384466234	-30.010060040225195	1.2756996775068966e-14	7.710354871143273e-12	23.8688478183477	Cell2_DMSO - Cell1_DMSO
1694	2.350744532069578	-0.47393002895013425	29.76249866787662	1.4385628592872e-14	7.710354871143273e-12	23.754698708409354	Cell2_DMSO - Cell1_DMSO
6221	-6.020084762572754	-1.8998121151824998	-29.654291195945778	1.5165922248511553e-14	7.710354871143273e-12	23.70445192563814	Cell2_DMSO - Cell1_DMSO
270	4.1004055467586795	-1.1228153003976935	28.98209864171159	2.114541852886399e-14	9.773027981885866e-12	23.38740426281475	Cell2_DMSO - Cell1_DMSO
4528	3.8868757821383477	-0.8898165509286695	28.12975481414882	3.258216724662698e-14	1.3803978190154298e-11	22.97280339792884	Cell2_DMSO - Cell1_DMSO
934	6.2272561757922125	-2.0553185799292897	27.78342060034681	3.8980665714837734e-14	1.524443880724885e-11	22.80015792841067	Cell2_DMSO - Cell1_DMSO
944	2.523868557773456	-0.6620226640613465	24.766834789873585	2.049051566986765e-13	7.440984404686224e-11	21.18432582932882	Cell2_DMSO - Cell1_DMSO
1567	-2.4548805415445085	-0.38089359781809345	-23.902407782438054	3.41681862766254e-13	1.1580737268690902e-10	20.680482629584038	Cell2_DMSO - Cell1_DMSO
267	2.3255239141243043	-0.4286277957785545	22.909219270341477	6.286605521763122e-13	1.997568904540232e-10	20.07642116669052	Cell2_DMSO - Cell1_DMSO
889	4.06130956998207	-0.9370920381642923	22.490158114052704	8.192693711741049e-13	2.4148491312497175e-10	19.813003553510637	Cell2_DMSO - Cell1_DMSO
1547	2.598625361534265	-0.5189282249050198	22.386340802687407	8.754530651772279e-13	2.4148491312497175e-10	19.74693080658576	Cell2_DMSO - Cell1_DMSO
2737	-1.7436343385169624	-0.2952446434178005	-22.33890107703026	9.02480989255402e-13	2.4148491312497175e-10	19.716629383199763	Cell2_DMSO - Cell1_DMSO
2828	-4.497135800229553	-1.5535272872292973	-21.837870282868373	1.2489517268017293e-12	3.174835289529996e-10	19.392348492517726	Cell2_DMSO - Cell1_DMSO
861	2.3181370827675662	-0.46713541477291876	21.45225247295991	1.6115570816960305e-12	3.9015029539726756e-10	19.137339907321376	Cell2_DMSO - Cell1_DMSO
1070	5.114282133091768	-1.6104016497788967	19.991471550438575	4.408416968212597e-12	9.640962863103983e-10	18.12570507351254	Cell2_DMSO - Cell1_DMSO
3449	-2.2378176062655624	-0.17931111672644878	-19.989312973838775	4.415199335608717e-12	9.640962863103983e-10	18.124153991108198	Cell2_DMSO - Cell1_DMSO
2137	-2.2798106913178584	-0.5659307202001183	-19.94675886158042	4.551201981008961e-12	9.640962863103983e-10	18.093540687078985	Cell2_DMSO - Cell1_DMSO
3282	1.182831805289422	0.3064102246298893	19.821976160863514	4.976380876735424e-12	1.011996815092916e-9	18.003382955380882	Cell2_DMSO - Cell1_DMSO
6234	4.970453962351449	-1.559111717077323	19.65703961712583	5.6044534724673685e-12	1.0751694305398496e-9	17.883313631516764	Cell2_DMSO - Cell1_DMSO
3221	-1.7830008664004644	-0.3103029841788047	-19.595427565826178	5.860292991367501e-12	1.0751694305398496e-9	17.838196252082636	Cell2_DMSO - Cell1_DMSO
2756	1.9579240611115742	-0.3343896853158301	19.506384429665356	6.252259144117831e-12	1.0751694305398496e-9	17.772734107295946	Cell2_DMSO - Cell1_DMSO
5759	-2.634622803906633	-0.7263922219007034	-19.49523785830252	6.30325953413025e-12	1.0751694305398496e-9	17.76451790852851	Cell2_DMSO - Cell1_DMSO
1158	-1.3569597506951872	-0.2907802693708812	-19.422272439796767	6.648249857807895e-12	1.0751694305398496e-9	17.71061574964688	Cell2_DMSO - Cell1_DMSO
4012	3.3247452424038317	-0.8927686459196098	19.40466717397101	6.73446693118821e-12	1.0751694305398496e-9	17.697579115496794	Cell2_DMSO - Cell1_DMSO
4183	3.136405621616243	-0.6950237587227216	19.387761743552826	6.818378623666986e-12	1.0751694305398496e-9	17.68504933020683	Cell2_DMSO - Cell1_DMSO
1769	-2.5209689855819857	-0.5136973519670044	-19.356036153368418	6.978873172268889e-12	1.0751694305398496e-9	17.661505154297796	Cell2_DMSO - Cell1_DMSO
6124	1.631486157191836	-0.29188697235974065	19.29679869950127	7.289419126188613e-12	1.0899825540453797e-9	17.617438280191795	Cell2_DMSO - Cell1_DMSO
6337	-4.8503525500343	-1.5028879434077898	-18.723822038625475	1.1179139358740528e-11	1.6238498428524813e-9	17.183959125723536	Cell2_DMSO - Cell1_DMSO
1348	-1.2412901068447053	0.13781605730579255	-18.65169403582783	1.1807513521196376e-11	1.6674832983822882e-9	17.12844179956971	Cell2_DMSO - Cell1_DMSO
1446	-3.8114050849892838	-0.9189965818213648	-18.58818013081323	1.239203026295104e-11	1.7027319420768403e-9	17.079375206211225	Cell2_DMSO - Cell1_DMSO
1104	-3.7640837158727374	-0.4845110701221841	-18.331179706659483	1.5091505074475745e-11	2.010725592430059e-9	16.879096284761573	Cell2_DMSO - Cell1_DMSO
4648	-3.4838839544311626	-0.81400886005714	-18.302918658711274	1.542452755798039e-11	2.010725592430059e-9	16.856900750589375	Cell2_DMSO - Cell1_DMSO
5803	1.3775549214743732	-0.18649945239210985	18.224407281864597	1.6391437849307345e-11	2.0833517506469636e-9	16.79505914212341	Cell2_DMSO - Cell1_DMSO
6023	-3.125817227587447	-0.9130818594802066	-17.947465078833975	2.0351764847743327e-11	2.5236188411201728e-9	16.574771033900863	Cell2_DMSO - Cell1_DMSO
2580	-1.4489473046725012	-0.22632926267348255	-17.81376158942529	2.2618004566960174e-11	2.737855600438703e-9	16.467203548498357	Cell2_DMSO - Cell1_DMSO
429	1.1177220756980246	0.38093924661856815	17.76454007412233	2.3518726396239377e-11	2.780679186011186e-9	16.427401500487615	Cell2_DMSO - Cell1_DMSO
5175	1.909886070002743	-0.3184734253364591	17.649996077021218	2.5766044622354908e-11	2.9771493377284625e-9	16.33435243086294	Cell2_DMSO - Cell1_DMSO
2679	1.9110176124091176	-0.47891822228971037	17.61198202324437	2.6561539699577398e-11	3.0008637296144774e-9	16.303339665009815	Cell2_DMSO - Cell1_DMSO
1630	-1.7838269557678785	-0.2167779544286993	-17.561794846174667	2.765205994416163e-11	3.0561537555677767e-9	16.262294152506414	Cell2_DMSO - Cell1_DMSO
5434	-1.2194095836086403	-0.2908214593495566	-17.3093219332738	3.391034042762915e-11	3.6680887390226936e-9	16.054036293126345	Cell2_DMSO - Cell1_DMSO
5726	1.619543113479284	-0.2757117818684052	17.15057560259716	3.860552561096943e-11	4.088968587628512e-9	15.92155369695941	Cell2_DMSO - Cell1_DMSO
2195	2.4131694785484985	-0.3225207712214202	17.053161230327852	4.1825774140612616e-11	4.339637463895399e-9	15.839658830803284	Cell2_DMSO - Cell1_DMSO
1064	1.3130980011885822	-0.12135003643965941	16.999884504225786	4.370689517704146e-11	4.444117101601576e-9	15.794675808711652	Cell2_DMSO - Cell1_DMSO
4219	1.3878886822767575	-0.21183051222707366	16.897154749704036	4.759318704340057e-11	4.744387508404873e-9	15.707547693512144	Cell2_DMSO - Cell1_DMSO
