id	Phos_number	logFC	AveExpr	t	P.Value	adj.P.Val	B	Comparison
6649	1	-3.80689954922974	-0.7998827106599102	-35.00687447309857	2.86870522828264e-14	1.5935657543110066e-10	21.899768340099087	Cell2_DMSO - Cell1_DMSO
1962	1	-5.364651164263887	-1.5500654799903433	-24.566384657616197	2.7055105455600436e-12	7.514555540293022e-9	18.29793166956093	Cell2_DMSO - Cell1_DMSO
4108	1	0.9793896663738679	0.1632316110623113	21.824823335313724	1.2207697864350864e-11	2.2604587212156353e-8	16.97354309995678	Cell2_DMSO - Cell1_DMSO
7801	1	-3.9572742673104324	-0.4877649485018395	-20.18068579246021	3.293847595332721e-11	4.5743308480183163e-8	16.072664583960528	Cell2_DMSO - Cell1_DMSO
1166	1	-5.696162681377331	-1.6703822428676678	-18.782441624193805	8.150636789550929e-11	8.915271226130517e-8	15.232901776004272	Cell2_DMSO - Cell1_DMSO
4585	1	-4.2983565356006554	-0.5426091236895352	-18.53522755664171	9.629455869807939e-11	8.915271226130517e-8	15.0766951320458	Cell2_DMSO - Cell1_DMSO
2659	1	-2.1329023247581116	-0.6253771521533478	-17.984570447024364	1.4066299971316358e-10	1.1045200437175653e-7	14.71983568838375	Cell2_DMSO - Cell1_DMSO
3637	1	-2.140977659419709	-0.026168471827454284	-17.80919301462403	1.5906679297462686e-10	1.1045200437175653e-7	14.60351808571459	Cell2_DMSO - Cell1_DMSO
3173	1	-6.158406444522444	-0.9796746587051272	-17.425994506294106	2.0891635083994384e-10	1.2894781432398755e-7	14.344733022706269	Cell2_DMSO - Cell1_DMSO
2056	1	-3.464546066111864	-0.7346983540519527	-16.92316862756081	3.0131797082871333e-10	1.6336000473873999e-7	13.995190427505836	Cell2_DMSO - Cell1_DMSO
2750	2	-2.5327508838690282	-0.4569723027512499	-16.827263922891436	3.23485157898495e-10	1.6336000473873999e-7	13.927195926831757	Cell2_DMSO - Cell1_DMSO
6193	1	-2.9252353333280525	-0.8592585945450859	-15.937314815482699	6.366034179411678e-10	2.768654615292964e-7	13.274976027417281	Cell2_DMSO - Cell1_DMSO
2539	1	-1.8055247994081818	-0.19450431179300998	-15.914716423161824	6.479299729758511e-10	2.768654615292964e-7	13.257897562885368	Cell2_DMSO - Cell1_DMSO
8025	1	2.6534067126892937	0.6970069273315694	15.326325596294037	1.0339539377129696e-9	4.1025815171396755e-7	12.803756580029184	Cell2_DMSO - Cell1_DMSO
242	1	-1.1424815242534354	0.08246568430439138	-15.219891778278727	1.127113042161436e-9	4.1740752994711843e-007	12.719610463492401	Cell2_DMSO - Cell1_DMSO
2498	1	-1.13032118474238	-0.24363745441651666	-14.947582765223874	1.4089932062955096e-9	4.891848288107223e-7	12.501445430956466	Cell2_DMSO - Cell1_DMSO
7354	1	-1.7046344762633505	-0.2837403569012007	-14.69664811055421	1.7364201285823852e-9	5.674008126044205e-7	12.296658505088093	Cell2_DMSO - Cell1_DMSO
4219	1	-2.4982477097005367	-0.045151313491140814	-14.51331667477606	2.0269058930060625e-9	5.800684098125082e-7	12.14471361688124	Cell2_DMSO - Cell1_DMSO
142	1	-2.31996711113952	-0.2445640111217301	-14.502890227730083	2.044922728788378e-9	5.800684098125082e-7	12.136012162205411	Cell2_DMSO - Cell1_DMSO
2740	1	-4.47066312580819	-0.8837798408318976	-14.379177988998562	2.2723103115078704e-9	5.800684098125082e-7	12.032268676082158	Cell2_DMSO - Cell1_DMSO
1758	1	1.687357915557203	0.4663495740510285	14.335803690639917	2.358333481334733e-9	5.800684098125082e-7	11.995676374074247	Cell2_DMSO - Cell1_DMSO
7802	2	-1.7793774587894267	-0.18706447435549287	-14.314565021013804	2.4017233889626802e-9	5.800684098125082e-7	11.977716796155814	Cell2_DMSO - Cell1_DMSO
7803	2	-1.7793774587894267	-0.18706447435549287	-14.314565021013804	2.4017233889626802e-9	5.800684098125082e-7	11.977716796155814	Cell2_DMSO - Cell1_DMSO
5403	1	-1.7076814160066474	-0.5020878796332304	-14.117720537006742	2.8471288306403104e-9	6.589916939252885e-7	11.809944217820902	Cell2_DMSO - Cell1_DMSO
2785	2	-4.431245451986861	-0.7129658151632903	-13.927904069080814	3.3614201082221114e-9	7.181803346605319e-7	11.645872364778516	Cell2_DMSO - Cell1_DMSO
2786	2	-4.431245451986861	-0.7129658151632903	-13.927904069080814	3.3614201082221114e-9	7.181803346605319e-7	11.645872364778516	Cell2_DMSO - Cell1_DMSO
6855	1	1.703289358149677	0.018531226823953004	13.838130028484066	3.638588458179393e-9	7.48605884636538e-7	11.567477723530043	Cell2_DMSO - Cell1_DMSO
3227	1	-0.9019833637181526	-0.41608539918090004	-13.67079875608394	4.2227844685409655e-9	8.111376027446452e-7	11.41996890809407	Cell2_DMSO - Cell1_DMSO
3677	1	-2.993920600093745	-0.6285521035893619	-13.653935934826581	4.2870070096699005e-9	8.111376027446452e-7	11.405002491093594	Cell2_DMSO - Cell1_DMSO
4397	1	-3.148521662901396	-0.22231282171357425	-13.629844902850062	4.3805811129323776e-9	8.111376027446452e-7	11.383588358327934	Cell2_DMSO - Cell1_DMSO
7410	1	-2.408713747868153	-0.43854032916945745	-13.56677050188318	4.63610000249879e-9	8.307592101251864e-7	11.32734132125232	Cell2_DMSO - Cell1_DMSO
1612	1	-4.845523091945927	-1.745029857043886	-12.971417258107834	8.009626869561486e-9	1.3605659461178355e-6	10.783177263255126	Cell2_DMSO - Cell1_DMSO
7390	3	1.3612547545417553	0.4094348543865563	12.961740784806768	8.082569976937636e-9	1.3605659461178355e-6	10.774129837732431	Cell2_DMSO - Cell1_DMSO
4954	3	1.0260697262490006	0.3228835322800609	12.873212079450207	8.78393033126986e-9	1.4090706926898575e-6	10.691046899381458	Cell2_DMSO - Cell1_DMSO
2225	1	-1.0507116669872574	-0.042904974767206214	-12.853516508495932	8.948665622550282e-9	1.4090706926898575e-6	10.672486712053438	Cell2_DMSO - Cell1_DMSO
277	1	-2.1494273775694577	0.09963301765216433	-12.832084588655533	9.131691257756053e-9	1.4090706926898575e-6	10.65225861638692	Cell2_DMSO - Cell1_DMSO
3043	1	-1.4168685366370517	-0.05907401456648688	-12.782023827386348	9.575011659425105e-9	1.4375456694082826e-6	10.604880778954268	Cell2_DMSO - Cell1_DMSO
1170	1	-2.8044487621185756	-0.7811317904043948	-12.472761664452182	1.2879192553721699e-8	1.8827345956822114e-6	10.308129819416681	Cell2_DMSO - Cell1_DMSO
3172	1	-5.415505670201572	-1.014176350794442	-12.02740805110568	1.996076010934151e-8	2.7225266252864103e-6	9.868118364727053	Cell2_DMSO - Cell1_DMSO
6953	2	-3.25678569818549	0.04411767770461185	-12.020738693481643	2.0094255920205728e-8	2.7225266252864103e-6	9.861411932644668	Cell2_DMSO - Cell1_DMSO
6954	2	-3.25678569818549	0.04411767770461185	-12.020738693481643	2.0094255920205728e-8	2.7225266252864103e-6	9.861411932644668	Cell2_DMSO - Cell1_DMSO
6689	1	-2.815864758873879	-0.13678874296169063	-11.802602036115646	2.5032889978193816e-8	3.3108977102111106e-6	9.640108146820676	Cell2_DMSO - Cell1_DMSO
6690	1	-2.514279007361147	-0.04374120426305201	-11.635429599691506	2.9693549349756768e-8	3.7665096564384375e-6	9.467901543110795	Cell2_DMSO - Cell1_DMSO
2965	1	-4.612925752465168	-1.4911621867523017	-11.630846151054808	2.983373985297772e-8	3.7665096564384375e-6	9.463147719309738	Cell2_DMSO - Cell1_DMSO
7472	3	2.8146696314717516	1.8812853969511196	11.575913361054566	3.157015564564319e-8	3.865518250187502e-6	9.406037423394288	Cell2_DMSO - Cell1_DMSO
8769	1	0.6908440428339906	0.26944880464389676	11.562520582860488	3.2009692080760596e-8	3.865518250187502e-6	9.392075713759269	Cell2_DMSO - Cell1_DMSO
4978	1	0.7506246013469989	0.17501960717269568	11.541159839363223	3.272433341992132e-8	3.867737705269424e-6	9.36977657917685	Cell2_DMSO - Cell1_DMSO
7082	1	-1.645716755730462	-0.23747287744009193	-11.377379854047463	3.88052807454549e-8	4.490902802937541e-6	9.197526414490358	Cell2_DMSO - Cell1_DMSO
