Protein_IDs	GeneID	Cell1_DMSO_1	Cell1_DMSO_2	Cell1_DMSO_3	Cell1_inhibitor1_1	Cell1_inhibitor1_2	Cell1_inhibitor1_3	Cell1_inhibitor2_1	Cell1_inhibitor2_2	Cell1_inhibitor2_3	Cell2_DMSO_1	Cell2_DMSO_2	Cell2_DMSO_3	Cell2_inhibitor1_1	Cell2_inhibitor1_2	Cell2_inhibitor1_3	Cell2_inhibitor2_1	Cell2_inhibitor2_2	Cell2_inhibitor2_3
A0A024R073	54973	-0.0018063362548410566	-0.189275277849422	-0.2351259887159376	0.42068776367647587	0.224941929604487	0.1364880253034464	0.49254833609520965	0.36195993041120467	0.36609697503300254	-0.666012293798703	-0.5752547137036501	-0.6718742769374906	-0.12390231366059368	0.034316843682990594	-0.23338207564285085	-0.4160622765095674	-0.5543647665995657	-0.40950121570879716
A0A024R0K2	7812	-0.5496108157181077	-0.5456278151127023	-0.22832407372701446	0.01812262169531209	-0.2683700678344323	0.029640610892389674	0.048740557632749315	-0.20932402091449198	0.16753835328755784	-0.30296979407816416	-0.5020748045573917	-0.17592355595060027	-0.02040571375760436	0.2750002471590385	-0.12315318093740757	-0.11814332795688642	-0.17913595101684976	-0.2652985082284367
A0A024R273	6850	-0.4006401552912777	-0.4133395296271125	0.05026474228509237	-0.38652906038167956	-0.6070118235769328	0.18571732170614297	-0.17473047193032976	-0.4592632646984587	0.28656580024964384	0.14557518308138206	0.18731109322292383	0.06812227723708375	-0.08801903412373946	0.2979066701374897	-0.2021087916750659	0.12592157906138368	0.19811160649915394	-0.012844716382872434
A0A024R2D7	10474	0.5720703220083365	0.23575623876364737	-0.2895575441676961	0.05111009061221594	0.3624021538154949	-0.447254367443934	-0.3611871113702705	0.18833059788938122	-0.7654954516327397	0.4851916649193537	0.5396270726403749	0.33153105120867465	0.060080174922184426	-0.8289030795972927	-0.06858001298130034	0.23399321132702866	0.04407945141142733	0.313436632273131
A0A024R2F8	131474	0	0	0	0	0	0	0	0	0	0.4354159572809504	0.6598619935928376	0.43398930865844676	0.18883247660214408	0.026928530948730156	-0.05516885685220885	0.3164262128457018	0.5035974228332307	0.6879058034680412
A0A024R2J0	7342	0.16826721637487196	0.22369471677174246	0.27081702245878425	0.2829591585986684	0.15093758037303573	0.5465744997625279	0.37131008963914347	0.2567634504555141	0.4752119670258601	0.18454175575469556	-0.02075455903901613	0.11929212328822558	0.5727510852899904	0.18040373134481413	0.2170785286013377	-0.08776454496819852	-0.035361578380538106	-0.08459373466934395
A0A024R495	8527	-0.8137195613062715	-0.6952534309397578	-0.33396081190671545	-0.12301288553494771	-0.1502253670316378	-0.5113670647707131	-0.396428894154651	-0.20623699984217403	-0.393407793668338	0.3972699286550405	0.3677406329068411	0.3809367589140962	0.6180852194979352	0.6393158221001904	0.4838675105458776	0.5715840355951904	0.4375204691793897	0.4067110390134161
A0A024R588	7536	0.35426025122245264	0.4619085970047898	-0.6269608376065303	-0.35691789680228325	-0.08307543590716548	-0.7544950555800298	-0.6651149554600071	-0.0641150432448594	-1.120983747471513	0.7063818470689665	0.5584361229807122	0.5212256617285789	-0.437803388745607	-0.5209494155061094	-0.12394179822495133	0.3975434557661295	0.2811265922487607	0.32128612441146487
A0A024R5F3	55291	-0.16760921864329603	-0.08616326175056699	0.009630603174800356	-0.06647820422403328	-0.13036619723079923	0.08201402518326262	-0.16643125414931426	-0.20192472876022372	0.19872477687635026	-0.053581897938984824	-0.05374152476966643	-0.05870325007678545	-0.20093164034404154	0.04816537399544174	-0.23469511049433223	-0.04997025980861025	-0.05267852940154327	-0.09127666775102128
A0A024R669	4331	-0.13035883883453891	-0.11606081634285204	-0.09002174734079027	0.2674322485197891	0.2175541181057099	0.21630133468751467	0.15716060485120487	0.2440626474511287	0.18521464487830386	-0.2355796304647182	-0.2716819025192798	-0.23221249539033195	-0.3823721355413916	-0.34749384962934116	-0.2308833138187012	-0.19448026104826965	-0.22665075364396614	-0.04678157485759371
A0A024R7G6	58513	-0.019469913193134403	0.033163517809263965	-0.507119842959364	-0.19151155067128656	-0.03560380184028489	-0.41330667070316807	-0.3366881029243647	-0.191452851877985	-0.4855648738789533	0.2834236270357966	0.4213153265007996	0.2906113788445168	-0.7222737845462035	-0.7476858554016736	-0.4828385533212973	0.26632947489966696	0.31437130965699467	0.08912170884673287
A0A024R7L5	5976	-0.5865542324970718	-0.5977414561168288	-0.3306157302383266	0.179185956646986	0.09441748718575127	0.09929162586826124	0.22612988632769238	0.11930262318219143	0.1688470316887276	-0.20435874564656054	-0.11666342993597567	-0.1538528301848352	0.24693719399662584	0.4041260840882792	0.27828065206189834	0.08490555430588742	0.03680076360477358	0.011381361429780412
A0A024R819	4521	0.14476840457544426	-0.10621264900506944	-0.2489902989809476	-0.01729016936888428	-0.364946278168766	-0.110202802370857	-0.23524512626589633	-0.18779969821949116	0.0313195214804729	0.2457999785881544	0.2486474205128424	0.23612994130629517	-0.03993552775224529	0.1603275052744273	-0.2960050718196108	-0.0079983299217119	0.027803361043254426	0.04137965851922232
A0A024R9A7	5778	0.22056868550366104	0.28570398477633674	0.6189120703784194	0.48715036129022593	0.09514373685496125	1.0171712509347017	0.32981980643752173	0.08657828780153487	0.9673922507287926	-0.5180494855268005	-0.640259283065344	-0.9593219568667664	-1.3800443589850637	-1.1795896050707135	-1.2759299735667753	-0.9298997254974815	-0.8947371545526686	-0.9135551324014486
A0A024RB55	116986	-0.18791496012929265	-0.09527804521546912	-0.29547756927557245	0.12108654712290345	-0.19587426621685822	0.33180320119765483	-0.03539205621586028	-0.13564597793934396	0.17994559924139608	0.12475497035837613	-0.38465738796199034	0.1600791877870762	-0.6752464168791974	-0.41363814010667	-0.3441700348511567	0.23351987617636993	0.11442103838466622	-0.3073816039817636
A0A024RDF4	3184	0.1474513196895657	0.29450836277743875	-0.09514621767856646	-0.3498801286676674	-0.4160906840158418	-0.391352246951552	-0.5237702551793486	-0.5329588107081253	-0.558012663503483	0.3478063076227773	0.42390973305081303	0.3366168195162018	-0.019849442041355303	0.11688481476791779	-0.03645028012225282	0.330047646725383	0.23660548840903317	0.17905722866376905
A0A024RDQ0	10808	-0.4351577819299166	-0.3431460701159992	-0.11632592471988268	0.646594970976416	0.43866215833969946	0.4723943921633058	0.5990972557087151	0.46866057359692626	0.46065641418113756	-0.7230318602512629	-0.8072584587472775	-0.6592161653021194	-0.3563059857937674	-0.005755743545641678	-0.3923089873059915	-0.5649947891353797	-0.7106237252933063	-0.6524708023806163
A0A024RDY9	8874	0.016731405302067515	-0.06210310157819521	0.27873121471325213	-0.3493770498894939	-0.5109155510447039	0.07255415258141085	-0.16040163210900182	-0.26299312399496877	0.014828438714062031	0.30454396344806334	0.2808876432842702	0.33093499302914964	-1.119446170909434	-0.7633967409293696	-0.8485040137545283	-0.3281406653247849	-0.32203688788046136	-0.09658729845238057
A0A087WYM1	835	-0.3267337033101718	-0.466940316202475	0.015147271608769941	0.4176578196129128	-0.2534234061218186	0.5803145947819779	0.3978582493937335	0.22822084426985434	0.6552578771797748	0	0	0	0	0	0	0	0	0
A0A087WZ32	59339	-0.1445175872164981	-0.20067789988174312	0.010984217358268822	-0.068969680563292	-0.25848729284781413	-0.06050250524264911	-0.21295734417427248	-0.5796386091639771	0	0.530310465443856	0.3778714330316859	0.4430595590136832	-0.5890915390932214	-0.2487838886037288	-0.5825338179553512	0.48993950316203083	0.23551646147947025	0.19560686246946446
A0A087WZE9	9324	0.9827058238411688	0.14086122295526593	0.7049742486794077	0.2945903590782031	-0.5321011660340993	-0.13743071862370115	0.06431653567064366	0.48128727284382755	-0.5941931842538715	-0.2958665866413366	-5.684200899868344	-0.07643376251582978	0.07048110194429569	-0.35347188179892797	-0.005572247180914758	-4.936591822651266	-2.660993978384635	-8.002275928757047
A0A087X1G1	4698	0.4043196861814238	0.33056742891083246	0.1936137020868376	-0.12742058296094427	0.1115963364880237	-0.3330840916436877	-0.001473584299178654	0.23278567972523767	-0.38421153560726395	-0.22783733729234434	-0.5203998703449102	-0.2496772608446065	0.9496196769464511	0.5356593641092502	0.8661509005202568	-0.5176118714058617	-0.4692813472170059	-0.01693999758468223
A0A090N7U2	51251	-0.1608873712978145	-0.028311048765907287	0.07362794922936722	0.4673247944030763	0.5059896715998349	0.27262050090241274	0.7009430877503728	0.5860456525255042	0.4452495792519855	-0.5340369560141749	-0.8682280362015575	-0.8421676439581489	-0.5086182097283896	-0.4015748629731135	-0.6075226783902288	-0.5533128307525566	-0.5343025749577883	-0.40720744742304404
A0A0A0MRB7	6929	0.0913069174402601	0.3304591988248191	-9.305572913653748e-5	-0.08798766695977989	-0.023046859088353244	-0.13269028564451446	-0.25617380671196166	0.04146783464742221	-0.4141419231317762	0.7990445500163563	0.792558890899798	0.8348912725511681	-0.4346088626018698	-0.6737333237028622	-0.49164607623201917	0.12606559469391598	-0.12278484390520816	0.03829681153262854
A0A0A0MTI6	60481	-0.23931056738556578	-0.8415315290560237	-0.45269820527454563	0.37424136678311726	0.30769300483743933	-0.5231722355900033	0.1745819483933264	0.49818777064331066	-0.43108538036300104	-0.9886225826983139	-1.0781171167265597	-0.662832081455754	1.2265644926903825	0.8878919114448891	0.6804137142845086	-0.3878794272217583	-0.2744102813632061	0
A0A0A6YYL4	100529144	-0.7231257123711572	-0.8046621356060868	-0.36866668296743477	-0.5207681269767619	-0.739770723608931	-0.12074466654688365	-0.14968719687894882	-0.5116722821378783	-0.04232608505139979	0.2902213743970403	0.2380471254307608	0.24107864438104443	0.33819722638535765	0.4320658598034335	0.30831723441357894	0.16147694514679145	0.19664548338639776	0.22004639438474882
A0A0B4J1W3	80155	-0.3518467264529548	-0.2716241171885052	-0.015543518468076556	-0.0027929294458530762	0.04042108878735462	0.08450573464595479	-0.0075355748813183965	0.13716289755090294	0.16043465372844778	-0.056078210194376865	-0.035635794280263866	-0.012441337033813227	0.0696255080139494	0.26517135001084213	-0.10737197924894915	-0.04586697442623233	-0.04358925884940135	-0.06775694164930712
A0A0C4DGA6	6596	0.551325053547135	0.42095084467021593	0.2760656372981227	0.4572980516723888	0.2586762611191915	0.6003242872592267	0.4770509902359894	0.29396044446565206	0.6115766898739992	-0.7917600445616184	-0.7282020998936716	-0.5952124874226712	-1.0027007817810372	-1.0307008514992297	-0.8732292212835233	-0.6738956717125149	-0.5701417047795267	-0.5910325088501907
A0A0D9SG71	7319	-0.5667087786270368	-0.08633791149859249	-0.34388062331541924	-0.35563042595532934	0.1800184587826159	-0.40744012082955905	-0.02793647860754156	0.018426650015952006	-0.1669365554464619	-0.011116281907357362	0.2899600064791983	0.4898089257433291	-0.13365860565132692	-0.6607316003176642	0.05245598638552451	0.30614193620237984	0.3005441378650673	0.4748934864452323
A0A0S2A4E4	178	0.13574892635348945	0.01662136281905191	0.15926723078507798	-0.2788040182443545	-0.34125547303763426	-0.09510828354778411	-0.1584323145599651	-0.09373861234310787	-0.11447978759919053	0.03794401030408956	0.06301423876941925	-0.011168048084741145	-0.11363215859688225	-0.09333108282404723	-0.14433427626511275	0.13937421736056166	0.4833371951845393	0.16673918868045234
A0A0S2Z472	5576	2.513935137606893e-4	0.30231194077533985	0.09967950173378703	-0.11188391631786843	-0.2695434147171589	0.2866764844142864	-0.13042018326561156	-0.43601602762191227	0.2413096176547178	0.1953624612428282	0.31852308727017586	0.2222350455358928	-0.05448887147051096	-0.06538694823474245	0.0879504336113257	0.09156424363147764	0.15102864564134322	0.22827801553412286
A0A0S2Z4G4	7170	-0.035033505090378725	0.26431809443185017	-0.37313311013450523	-0.30177311138604423	-0.002897122312596423	-0.5292887605702532	-0.47341169873988953	0.10288449168807823	-0.4385445005026831	0.32705596243048696	-0.024167073219590662	0.23873784603128811	-0.12534771156110125	-0.31523896764801407	0.09637516816341929	0.3259730280071125	0.24841409530595016	0.4465382991542768
A0A0S2Z4Z6	10250	0.6783094218145358	0.6825436945782073	-0.04354501089845719	0.01320979061322447	0.08907365167677739	-0.35220564016444555	-0.19803520671517383	0.16096685974986435	-0.7636327531827121	-0.14967855991304013	0.03002456462997216	0.044358005048270144	0.23567564302812016	-0.020188690621360195	0.14674976519353677	-0.020327597981228962	-0.17059146389592783	-0.21973720400353614
A0A140VKE1	7360	0.8600216783287848	1.0625992803714723	0.3215919112747354	0.03687343228783391	0.3897686668641036	-0.34050721422999786	-0.20275993726477815	0.30975250442021895	-0.27770486370062386	-0.01849268874213017	0.05453479876549494	-9.680548538462119e-4	-1.2020767528298677	-1.3187147301415756	-0.8418520940125767	-0.20648794062879006	-0.25436693363346663	-0.22716411350175392
A0A1C7CYX1	91748	0.23663543570546963	0.2051202791111244	0.16400111226335845	0.06776371602936138	0.05244602523357855	0.058905379200712815	-0.1775495293153515	-0.09228458172978016	0.13872134379599643	-0.04729808797400459	-0.04909041971188799	-0.2884328586532092	-0.9140803474499961	-0.5654978451206496	-0.6447806865877226	-0.3479994951796286	-0.6513467891165199	-0.3310321476592222
A0A1W2PQS6	100529239	-0.17508002117136456	-0.28578520061451584	-0.026014488349295206	-0.08632290889243066	0.286698146285552	-0.47894692696187846	-0.11132314160301071	0.2691354811335831	-0.6256618891497787	0.1817481125213849	0.12965600169820846	0.18832856648811358	0.42430065995769084	0.008512819528831983	0.03158254016473805	-0.23471095124594754	-0.40538820851828206	0.22068834377984103
A0A3B3IS20	27086	0.293558432821726	0.5172459269882701	0.24264891416489753	0.3081643376029355	0.24523197580350597	0.3747798871599315	0.3012030579019491	0.15775745247989725	0.20960464302785198	0.012048821275579158	-0.25018371605365	0.1596886695800528	-0.5009216421391969	-0.324918839237025	-0.3562943771082665	-0.23729013353632844	-0.1573167240421629	-0.16714659428817136
A0AVI2	90342	0	0	0	0	0	0	0	0	0	-0.2795208929716839	-0.43660641134579237	-0.3046423157943252	0.40014145461008965	0.21416562599576494	0.18119269249842418	-0.20129493336465387	-0.1460040086395118	-0.20735335794375942
A0AVT1	55236	-0.3518774791625887	-0.28516411294850386	0.15877168825804056	-0.13585048316199888	-0.37804084203642674	0.2551362106941255	-0.004844750139051612	-0.21980263493245467	0.31230542854681786	0.1899617676945784	0.2570686608744168	0.15072627498263813	-0.40008795271902997	-0.1305174482662288	-0.24285083842274702	0.13561020826924874	0.11902097709985426	0.0917376594816588
A0FGR8	57488	0.9522844050000359	0.712557240613684	0.6314354290121127	0.48590327118721177	0.39685410105785834	0.42586848869128247	0.25243110212708153	0.1769655694611192	0.417698625351413	-0.6507573382601901	-0.5456207213381603	-0.6978831253573965	-0.5080060868487273	-0.6002995115169298	-0.4714784614299532	-0.7971174796952489	-0.6847974642469836	-0.47801694295651487
A1L0T0	10994	0.1944073560455024	0.24111304678791612	0.02600075808218527	0.0750448568342037	-0.03616382200775092	0.16119273793772138	0.10531359545413643	0.0121439997294015	0.2686490165747344	-0.48546419423682785	-0.6655647067593478	-0.40767430358209467	0.13835122456933746	-0.2248468237420269	-0.036939388433456344	-0.3311915421419087	-0.5553345126344098	-0.5157952235151448
A2RRP1	51594	0.10777848567241932	0.15378632812224424	0.005469472649048512	-0.11014137881624819	-0.28001595457228845	0.1629432984814656	0.12357222512902943	-0.0878714130384406	0.23604066120865852	0.06694486440359348	0.048945653615110274	0.11744608754463925	0.24503283409293175	0.060361346181949216	0.20426390257294003	0.0024077350196662906	0.18382100114716948	-0.2497022477452866
A2RUR9	9720	-0.10135499116161029	0.0606305921586241	-0.12127672552096236	0.08441603262971142	0.3429720796036406	-0.1514353705169711	0.15249002726207017	0.4625906517191378	-0.21574966103613136	0	0	0	0	0	0	0	0	0
A2RUS2	22898	0	0	0	0	0	0	0	0	0	0.5918383076523117	0.5775579220889338	0.23334448802954988	1.5867454904270595	0.7032180491960354	0.7619550067332632	1.163547581736978	0.6599816980812712	1.3173868634737254
A2VDJ0	23240	0.5908979052138186	0.4544638796290279	0.07455896184796451	0.9068800327983375	0.77984169963554	0.42307430583930383	0.7529908064542052	0.9344709934597635	0.3102359165047268	0	0	0	0	0	0	0	0	0
A3KMH1	23078	0.026377268275599164	0.014826960243357945	-0.09690442551380762	0.04032695077260939	-0.06561032184080773	-0.20286207951829738	-0.24683797251623396	-0.11742848151796004	-0.1855852773604667	-0.2541143815264153	-0.2608258832853281	-0.1805837139597699	0.05850849605488051	0.12036869112078108	-0.03186361622932665	-0.18836006493322088	-0.37887491752840674	-0.31246641228841554
A3KN83	55206	-0.10831612599843154	-0.2794369782867321	-0.23073122420617587	-0.077185660783861465	-0.17865906476258786	0.039340606917303234	-0.026608296804907283	-0.27847930059972903	0.13903391538741516	-0.1282348696011706	-0.2519712378704462	-0.015552430117207194	-0.13660505211322516	0.16814574254630443	-0.33670141067540627	-0.008933836407855722	-0.007651912564568875	-0.052467574266756856
A4D1P6	29062	0	0	0	0	0	0	0	0	0	0.5918298803715931	0.6342938825333242	0.6408604840564642	0.18126902240907583	0.3774846782495551	0.3330234546701085	0.6067774161538217	0.5929111124005111	0.5036949562600768
A4D1T9	136242	0	0	0	0	0	0	0	0	0	0.6521015649855908	-1.1573844050130457	-1.2909188537085825	0.1783366053370674	-0.0043307929618165986	-1.8161422975658787	0.5318274654848274	0.4466215151092623	-0.05089641056433969
A4D210	8662	-0.4561435375137144	-0.4219223563637087	-0.2888763449885108	0.24330744055234632	0.2035476038343198	0.08566045758147212	0.1300437306493354	0.16989646758814025	0.24985155461103403	0.0996588319306877	0.06657613543857721	0.15714413027214036	-0.16141252280925045	-0.11389609013824042	-0.35465605083463814	-0.07126583776811657	-0.14977432057186135	-0.14805103454905932
A5PLN9	80006	0	0	0	0	0	0	0	0	0	0.474860897209302	0.3437839185424174	-0.1037474288829543	0.26424950736921105	0.060339146802114385	0.012747689456505285	-0.023987736978257956	0.650335486634269	0.5147252823891151
A5YKK6	23019	-0.07545193439293385	-0.03542452941871943	0.2809807401193307	0.08195452716344676	-0.02805467441762488	0.35321678157261616	0.17629489308033008	0.03247124302689208	0.35784817494861443	-0.2369383240221925	-0.17697583292901342	-0.20275646785019674	-0.4032728146945104	-0.2067907633480921	-0.41530447722713504	-0.2796758305383733	-0.23962126578972232	-0.38274673726671793
A6H8W8	50618	0.21876865605322138	0.08472436542696116	0.09092719367831315	-0.03492898861320981	-0.07050646046003806	0.06306937468546536	0.05873041188388406	0.031547535237050894	0.07110255649752872	0.3293624221219833	0.20535972934844082	0.2104640425718607	-0.3326568388384956	-0.7863478940094417	-0.32586983867550856	0.22432492141873084	0.060865315932556285	0.05360582055205754
A6NC98	283234	0.25374168710185074	0.1526601734250903	0.2114425585565325	0.2369621057036575	0.40354452430560883	0.19377699812489624	0.07651794952762891	-0.05545854472846834	0.2778521955211808	0	0	0	0	0	0	0	0	0
A6NDG6	283871	-0.2551411763885909	-0.09371881554315564	-0.735260835905363	-0.6003446649441564	-0.3744163612979463	-0.9549277858490939	-0.7788408716602344	-0.40528573531950407	-1.1299384778556032	0.2761481492521387	0.1054532241386461	0.19037500084012038	0.3125868887465195	0.14904557906480065	0.14355616489977052	-0.10088905427700823	0.13557610976199896	0.023754106377587902
A6NDU8	285636	-0.17680615714022352	0.4200123094249584	0.39277888095771196	0.2563246110039117	4.47488935140683e-4	0.751235977615142	0.7707420688620896	0.19698194481252607	0.953448637250812	-0.3314549316756583	0.0719940555673162	0.04185100956118504	-1.0884377727804608	-1.8279715075698277	-0.5623046895111745	0.03735380021345591	-0.0443279615323906	-0.14044041944770846
A6NHL2	79861	-0.007815281103194849	-0.3192171531624268	0.4563899173486359	-0.03391886478683759	-0.08715968862951584	-0.0031007995702552194	0.007409926187390781	-0.34161825144046354	0.1916531636609342	0.025695551600561473	-0.22539489134948099	-0.08938558250212836	0.41754078757854884	0.4803063830794514	0.21400035518680482	-0.44468191915175126	-0.45927594465535293	-0.1735785670333705
A6NHR9	23347	-4.2256452621458607e-4	0.09748622474431912	-0.018419756256209396	-0.17627370693764632	-0.3678237775212061	0.1098245996687659	-0.10644813776036521	-0.29917866877630495	0.1242037082917875	0.1502723583606933	0.1517204023422991	0.16875834152441627	-0.31660392468001675	-0.02695280844998038	-0.2584131676455961	-0.05721886392780817	-0.12962746030551742	-0.12710386952063857
A6NI79	26112	1.2173163857227731	0.7860287091022329	0.19375288147902836	0	-1.1781797825889804	0.43763227890245737	-0.09602698971744417	0	0.2099745393336363	0	0	0	0	0	0	0	0	0
A6NIH7	84747	-0.11449209831061324	-0.19537868085393484	-0.15243509991025128	0.05149029070186728	0.08079638957017465	0.69053410332981	0.3163382581167138	0.050247983752187864	0.5973553707139239	0	0	0	0	0	0	0	0	0
A6NKT7	653489	0.22791809947214148	0.460098462707208	0.3583684449062954	0.16641457991421404	0.11737822165012801	0.5876606063403571	0.26435215319373206	0.17069447650277603	0.7917484624347004	-0.24774391611863145	-0.37183070179844435	-0.4968471765357343	-1.2071248473447795	-1.840602014203462	-1.0214213060007697	-0.8107975306409934	-0.9933649884465368	-0.6536213877326098
A7E2F7	7461	0	0	0	0	0	0	0	0	0	0.27029735115934095	0.31225442958647776	0.28907042042617803	0.5041664790013023	0.3335629880062143	0.7300282791331547	1.094072319885516	1.120660494769126	1.1745674474971288
